entity,concept,relation
concept:building:medical_college_of_georgia,concept:building,generalizations
concept:biotechcompany:nexstar_broadcasting_group_inc,concept:biotechcompany,generalizations
concept:biotechcompany:proshares_ultrashort_ftse_xinhua_china_25,concept:biotechcompany,generalizations
concept:biotechcompany:blacksands_petroleum_inc,concept:biotechcompany,generalizations
concept:biotechcompany:richardson_electronics_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:cytokinetics,concept:biotechcompany,generalizations
concept:company:ongc_videsh_limited,concept:company,generalizations
concept:biotechcompany:biocoral_inc,concept:biotechcompany,generalizations
concept:biotechcompany:corning_inc,concept:biotechcompany,generalizations
concept:biotechcompany:corning_inc,concept:company,generalizations
concept:biotechcompany:cadence_financial_corp,concept:biotechcompany,generalizations
concept:biotechcompany:harlan_laboratories,concept:biotechcompany,generalizations
concept:biotechcompany:icn_pharmaceuticals,concept:drug:virazole,concept:agentworkedondrug
concept:biotechcompany:icn_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:zambon_group,concept:biotechcompany,generalizations
concept:organization:pfizer_pharmaceuticals_group,concept:organization,generalizations
concept:biotechcompany:qep_resources,concept:biotechcompany,generalizations
concept:company:ppd,concept:person:fred_eshelman,concept:organizationhasperson
concept:company:ppd,concept:person:fred_eshelman,concept:organizationhastopmember
concept:company:ppd,concept:person:fred_eshelman,concept:organizationleadbyperson
concept:company:ppd,concept:person:fred_eshelman,concept:worker
concept:biotechcompany:metallica_resources_inc,concept:biotechcompany,generalizations
concept:company:reed_international,concept:company,generalizations
concept:biotechcompany:security_national_financial_corp,concept:biotechcompany,generalizations
concept:organization:glaxosmithkline_group,concept:organization,generalizations
concept:biotechcompany:orbit_international_corp,concept:biotechcompany,generalizations
concept:biotechcompany:bankatlantic_bancorp,concept:biotechcompany,generalizations
concept:biotechcompany:central_garden___pet_co,concept:biotechcompany,generalizations
concept:biotechcompany:xl_capital_ltd,concept:biotechcompany,generalizations
concept:retailstore:costco_wholesale_corp,concept:company:cost,concept:companyalsoknownas
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:organizationhasagent
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:organizationhasperson
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:organizationleadbyperson
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:organizationterminatedperson
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:subpartof
concept:retailstore:costco_wholesale_corp,concept:ceo:james_sinegal,concept:worker
concept:retailstore:costco_wholesale_corp,concept:biotechcompany,generalizations
concept:retailstore:costco_wholesale_corp,concept:retailstore,generalizations
concept:retailstore:costco_wholesale_corp,concept:company,generalizations
concept:biotechcompany:metricsinc,concept:biotechcompany,generalizations
concept:biotechcompany:canmex_minerals_corp,concept:biotechcompany,generalizations
concept:company:hyland_software,concept:company,generalizations
concept:biotechcompany:fluka,concept:biotechcompany,generalizations
concept:biotechcompany:commscope_inc,concept:biotechcompany,generalizations
concept:biotechcompany:wipro_ltd,concept:biotechcompany,generalizations
concept:retailstore:home_depot_inc_,concept:retailstore,generalizations
concept:biotechcompany:abbott_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:biomerieux,concept:biotechcompany,generalizations
concept:biotechcompany:beckman_coulter,concept:biotechcompany,generalizations
concept:biotechcompany:rait_financial_trust,concept:biotechcompany,generalizations
concept:biotechcompany:hypercom_corp,concept:biotechcompany,generalizations
concept:biotechcompany:lowes_companies_inc,concept:biotechcompany,generalizations
concept:biotechcompany:grupo_aeroportuario_del_centro_norte_sab_de_cv,concept:biotechcompany,generalizations
concept:biotechcompany:old_rep_intl_corp,concept:biotechcompany,generalizations
concept:biotechcompany:witter_dean_world_currency_fund_l_p,concept:biotechcompany,generalizations
concept:biotechcompany:aerogen,concept:biotechcompany,generalizations
concept:biotechcompany:biosense_webster,concept:biotechcompany,generalizations
concept:biotechcompany:villarrica_volcano,concept:biotechcompany,generalizations
concept:biotechcompany:villarrica_volcano,concept:mountainrange,generalizations
concept:biotechcompany:hei_inc,concept:biotechcompany,generalizations
concept:biotechcompany:span_america_medical,concept:biotechcompany,generalizations
concept:biotechcompany:ingram_micro_inc,concept:biotechcompany,generalizations
concept:biotechcompany:clifton_savings,concept:biotechcompany,generalizations
concept:biotechcompany:cholestech,concept:biotechcompany,generalizations
concept:biotechcompany:caraco_pharmaceutical_laboratories,concept:biotechcompany,generalizations
concept:biotechcompany:utek_corp,concept:biotechcompany,generalizations
concept:biotechcompany:yrc_worldwide_inc,concept:biotechcompany,generalizations
concept:biotechcompany:marriott_intl,concept:biotechcompany,generalizations
concept:biotechcompany:genta_inc,concept:biotechcompany,generalizations
concept:biotechcompany:flow_international_corp,concept:biotechcompany,generalizations
concept:biotechcompany:autodesk_inc,concept:biotechcompany,generalizations
concept:biotechcompany:first_data_corp,concept:biotechcompany,generalizations
concept:biotechcompany:crocotta_energy_inc,concept:biotechcompany,generalizations
concept:biotechcompany:donegal_group_inc,concept:biotechcompany,generalizations
concept:biotechcompany:epiq_systems_inc,concept:biotechcompany,generalizations
concept:biotechcompany:telecomm_industries_corp,concept:biotechcompany,generalizations
concept:biotechcompany:ncr_corp,concept:biotechcompany,generalizations
concept:biotechcompany:cenes_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:proshares_ultrashort_semiconductors,concept:biotechcompany,generalizations
concept:biotechcompany:mednax_inc,concept:biotechcompany,generalizations
concept:biotechcompany:sunopta_inc,concept:biotechcompany,generalizations
concept:biotechcompany:syntax_brillian_corp,concept:biotechcompany,generalizations
concept:biotechcompany:zap,concept:biotechcompany,generalizations
concept:biotechcompany:lasalle_hotel_properties,concept:biotechcompany,generalizations
concept:biotechcompany:lasalle_hotel_properties,concept:hotel,generalizations
concept:biotechcompany:crescent_banking_co,concept:biotechcompany,generalizations
concept:biotechcompany:aero_vodochody_l_39,concept:biotechcompany,generalizations
concept:biotechcompany:sound_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:slm_holding_corp,concept:biotechcompany,generalizations
concept:biotechcompany:global_industries,concept:biotechcompany,generalizations
concept:biotechcompany:hormel_foods_corp,concept:biotechcompany,generalizations
concept:biotechcompany:newbridge_bancorp,concept:biotechcompany,generalizations
concept:biotechcompany:tut_systems_inc,concept:biotechcompany,generalizations
concept:biotechcompany:conair_corp,concept:biotechcompany,generalizations
concept:biotechcompany:genitope,concept:biotechcompany,generalizations
concept:biotechcompany:southwest_gas_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:maidenform_brands_inc,concept:biotechcompany,generalizations
concept:biotechcompany:cet_services_inc,concept:biotechcompany,generalizations
concept:biotechcompany:mdc_partners_inc,concept:biotechcompany,generalizations
concept:biotechcompany:sanofi_synthelabo_inc,concept:biotechcompany,generalizations
concept:biotechcompany:kramer_laboratories,concept:biotechcompany,generalizations
concept:biotechcompany:blue_chip_value_fund_inc,concept:biotechcompany,generalizations
concept:biotechcompany:somerset_pharmaceuticals_inc,concept:biotechcompany,generalizations
concept:biotechcompany:international_medical_group,concept:biotechcompany,generalizations
concept:biotechcompany:united_dominion_industries_limited,concept:biotechcompany,generalizations
concept:biotechcompany:cellzome,concept:biotechcompany,generalizations
concept:company:cheveron,40.4459000000000;-79.9577000000000,concept:latitudelongitude
concept:company:cheveron,concept:company,generalizations
concept:biotechcompany:panavision_inc,concept:biotechcompany,generalizations
concept:biotechcompany:taubman_centers_inc,concept:biotechcompany,generalizations
concept:biotechcompany:biotel_inc,concept:biotechcompany,generalizations
concept:biotechcompany:ascent_media_corp,concept:biotechcompany,generalizations
concept:biotechcompany:community_west_bancshares,concept:biotechcompany,generalizations
concept:biotechcompany:winmark_corp,concept:biotechcompany,generalizations
concept:biotechcompany:lubys_inc,concept:biotechcompany,generalizations
concept:biotechcompany:echelon_corporation,concept:videogame:echelon,concept:synonymfor
concept:biotechcompany:echelon_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:echelon_corporation,concept:company,generalizations
concept:retailstore:subway,concept:agent:search,concept:agentcompeteswithagent
concept:retailstore:subway,concept:city:new_york_city,concept:transportationincity
concept:retailstore:subway,concept:retailstore,generalizations
concept:biotechcompany:n1_2_areas_covered_in_this_report,concept:biotechcompany,generalizations
concept:biotechcompany:fairfax_financial_holdings_limited,concept:biotechcompany,generalizations
concept:biotechcompany:shire_biochem,concept:biotechcompany,generalizations
concept:biotechcompany:meridian_medical_technologies,concept:biotechcompany,generalizations
concept:shoppingmall:tysons_galleria,concept:shoppingmall,generalizations
concept:biotechcompany:pfizer_company,concept:biotechcompany,generalizations
concept:biotechcompany:sandy_spring_wtvr_tv_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:orbital_sciences,concept:biotechcompany,generalizations
concept:biotechcompany:eplus_inc,concept:biotechcompany,generalizations
concept:biotechcompany:genetic_technologies_grants,concept:biotechcompany,generalizations
concept:biotechcompany:sense_technologies_inc,concept:biotechcompany,generalizations
concept:biotechcompany:transtech,concept:biotechcompany,generalizations
concept:biotechcompany:premiere_global_svcs_inc,concept:biotechcompany,generalizations
concept:biotechcompany:bristol_myers,concept:drug:plavix,concept:agentworkedondrug
concept:biotechcompany:bristol_myers,concept:biotechcompany,generalizations
concept:biotechcompany:ostex,concept:biotechcompany,generalizations
concept:mountain:taal_volcano,concept:mountain,generalizations
concept:biotechcompany:novartis_international_ag,concept:biotechcompany,generalizations
concept:biotechcompany:home_properties_inc,concept:biotechcompany,generalizations
concept:biotechcompany:cell_signaling,concept:biotechcompany,generalizations
concept:biotechcompany:inovio_pharmaceuticals_inc,concept:biotechcompany,generalizations
concept:biotechcompany:helix_medical,concept:biotechcompany,generalizations
concept:biotechcompany:insmed_incorporated,concept:biotechcompany,generalizations
concept:biotechcompany:colony_rih_holdings_inc,concept:biotechcompany,generalizations
concept:biotechcompany:inrange_technologies_corp,concept:biotechcompany,generalizations
concept:biotechcompany:encore_medical,concept:biotechcompany,generalizations
concept:company:pepsico_foods,concept:company,generalizations
concept:biotechcompany:nvr_inc,concept:biotechcompany,generalizations
concept:biotechcompany:cephalon___inc,concept:biotechcompany,generalizations
concept:biotechcompany:biomed_realty_trust_inc,concept:biotechcompany,generalizations
concept:retailstore:parkson,concept:company,generalizations
concept:retailstore:parkson,concept:retailstore,generalizations
concept:biotechcompany:c_m_s_bancorp_inc,concept:biotechcompany,generalizations
concept:company:genencor,concept:company,generalizations
concept:biotechcompany:select_comfort_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:electroregenesis_inc,concept:biotechcompany,generalizations
concept:biotechcompany:pc_connection_inc,concept:biotechcompany,generalizations
concept:biotechcompany:pc_connection_inc,concept:retailstore,generalizations
concept:retailstore:fedex_corp,concept:company:fdx,concept:companyalsoknownas
concept:retailstore:fedex_corp,concept:country:u_s_,concept:organizationheadquarteredincountry
concept:retailstore:fedex_corp,concept:biotechcompany,generalizations
concept:retailstore:fedex_corp,concept:company,generalizations
concept:retailstore:fedex_corp,concept:retailstore,generalizations
concept:retailstore:fedex_corp,concept:organization,generalizations
concept:biotechcompany:brinx_resources_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:dawson_geophysical_co,concept:biotechcompany,generalizations
concept:biotechcompany:ca_inc,concept:biotechcompany,generalizations
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:agentcollaborateswithagent
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:agentcontrols
concept:biotechcompany:caterpillar,concept:company:new_york,concept:competeswith
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:controlledbyagent
concept:biotechcompany:caterpillar,concept:city:peoria,concept:hasofficeincity
concept:biotechcompany:caterpillar,concept:city:peoria,concept:headquarteredin
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:mutualproxyfor
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:organizationhasagent
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:organizationhasperson
concept:biotechcompany:caterpillar,concept:person:jim_owens,concept:organizationhastopmember
concept:biotechcompany:caterpillar,concept:city:peoria,concept:organizationheadquarteredincity
concept:biotechcompany:caterpillar,concept:stateorprovince:illinois,concept:organizationheadquarteredinstateorprovince
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:organizationleadbyperson
concept:biotechcompany:caterpillar,concept:person:jim_owens,concept:organizationterminatedperson
concept:biotechcompany:caterpillar,concept:ceo:james_w__owens,concept:worker
concept:biotechcompany:caterpillar,concept:biotechcompany,generalizations
concept:biotechcompany:caterpillar,concept:retailstore,generalizations
concept:biotechcompany:caterpillar,concept:company,generalizations
concept:biotechcompany:bank_of_new_york_co_inc,concept:biotechcompany,generalizations
concept:biotechcompany:biovex_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:united_therapeutics_corporation,concept:biotechcompany,generalizations
concept:company:quorumlabs,concept:company,generalizations
concept:biotechcompany:kvh_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:texas_roadhouse_inc,concept:biotechcompany,generalizations
concept:biotechcompany:automatic_data_processing_inc,concept:biotechcompany,generalizations
concept:biotechcompany:natural_alternatives_international_inc,concept:biotechcompany,generalizations
concept:biotechcompany:north_fork_bancorp_inc,concept:biotechcompany,generalizations
concept:company:tiger_electronics,concept:company:hasbro,concept:acquiredby
concept:company:tiger_electronics,concept:company,generalizations
concept:biotechcompany:w_holding_co_inc,concept:biotechcompany,generalizations
concept:biotechcompany:tapestry_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:cutera_inc,concept:biotechcompany,generalizations
concept:biotechcompany:alfacell_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:unica_corp,concept:biotechcompany,generalizations
concept:biotechcompany:inspire_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:central_european_media,concept:biotechcompany,generalizations
concept:biotechcompany:magyar_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:sl_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:stellar_resources_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:applied_innovation_inc,concept:biotechcompany,generalizations
concept:biotechcompany:pharmed_group,concept:biotechcompany,generalizations
concept:biotechcompany:saks_inc,concept:biotechcompany,generalizations
concept:biotechcompany:saks_inc,concept:retailstore,generalizations
concept:biotechcompany:saks_inc,concept:company,generalizations
concept:biotechcompany:midas_group_inc,concept:biotechcompany,generalizations
concept:biotechcompany:unigene,concept:biotechcompany,generalizations
concept:biotechcompany:mid_penn_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:maf_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:i_many_inc,concept:biotechcompany,generalizations
concept:biotechcompany:walbro_corp,concept:biotechcompany,generalizations
concept:biotechcompany:ebix_inc,concept:biotechcompany,generalizations
concept:biotechcompany:decorator_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:biontech,concept:biotechcompany,generalizations
concept:biotechcompany:aga_medical_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:transwitch_corp,concept:biotechcompany,generalizations
concept:biotechcompany:white_knight_resources_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:dime_community,concept:biotechcompany,generalizations
concept:company:vocus,concept:company:prweb,concept:acquired
concept:company:vocus,concept:company:prweb,concept:agentcollaborateswithagent
concept:company:vocus,concept:company,generalizations
concept:biotechcompany:pharmion,concept:biotechcompany,generalizations
concept:biotechcompany:allozyne_inc,concept:biotechcompany,generalizations
concept:biotechcompany:sonoma_valley_bancorp,concept:biotechcompany,generalizations
concept:biotechcompany:matthews_intl_corp,concept:biotechcompany,generalizations
concept:biotechcompany:eurand,concept:biotechcompany,generalizations
concept:biotechcompany:compass_minerals,concept:biotechcompany,generalizations
concept:biotechcompany:jarden_corp,concept:biotechcompany,generalizations
concept:biotechcompany:quanex_corp,concept:biotechcompany,generalizations
concept:retailstore:bic_camera,concept:company,generalizations
concept:retailstore:bic_camera,concept:retailstore,generalizations
concept:biotechcompany:haverty_furniture_companies_inc,concept:biotechcompany,generalizations
concept:biotechcompany:thoratec_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:federal_realty_investment_trust,concept:biotechcompany,generalizations
concept:biotechcompany:rockford_corp,concept:biotechcompany,generalizations
concept:biotechcompany:dr_reddy,concept:biotechcompany,generalizations
concept:biotechcompany:kowa_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:mylan_laboratories_inc,concept:biotechcompany,generalizations
concept:biotechcompany:hoechst,concept:biotechcompany,generalizations
concept:biotechcompany:authentec_inc,concept:biotechcompany,generalizations
concept:biotechcompany:aeropostale_inc,concept:biotechcompany,generalizations
concept:company:hewlett_packard_co_,concept:ceo:mark_v__hurd,concept:agentcollaborateswithagent
concept:company:hewlett_packard_co_,concept:company,generalizations
concept:biotechcompany:eastman_kodak_co,concept:biotechcompany,generalizations
concept:biotechcompany:yanzhou_coal_mining,concept:biotechcompany,generalizations
concept:biotechcompany:precision_drilling_trust,concept:biotechcompany,generalizations
concept:biotechcompany:apogee_enterprises,concept:biotechcompany,generalizations
concept:biotechcompany:bookham_inc,concept:biotechcompany,generalizations
concept:biotechcompany:meadow_valley_corp,concept:biotechcompany,generalizations
concept:biotechcompany:universal_corporation,concept:biotechcompany,generalizations
concept:company:hensel_phelps,concept:company,generalizations
concept:biotechcompany:pni_digital_media_inc,concept:biotechcompany,generalizations
concept:biotechcompany:western_asset_managed_municipals_portfolio_inc,concept:biotechcompany,generalizations
concept:biotechcompany:altarex,concept:biotechcompany,generalizations
concept:biotechcompany:diamond_offshore_drilling,concept:biotechcompany,generalizations
concept:biotechcompany:invado_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:ttm_technologies_inc,concept:biotechcompany,generalizations
concept:biotechcompany:elsaad_pharmaceutical_indust,concept:biotechcompany,generalizations
concept:biotechcompany:mannkind,concept:biotechcompany,generalizations
concept:company:hasbro,concept:radiostation:wotc,concept:acquired
concept:company:hasbro,concept:company:tiger_electronics,concept:acquired
concept:company:hasbro,concept:director:brian_goldner,concept:agentcollaborateswithagent
concept:company:hasbro,concept:director:brian_goldner,concept:organizationhasagent
concept:company:hasbro,concept:director:brian_goldner,concept:organizationhasperson
concept:company:hasbro,concept:director:brian_goldner,concept:organizationhastopmember
concept:company:hasbro,concept:director:brian_goldner,concept:organizationleadbyperson
concept:company:hasbro,concept:building:coast,concept:superpartoforganization
concept:company:hasbro,concept:company,generalizations
concept:biotechcompany:sigma_chemical_company,concept:biotechcompany,generalizations
concept:biotechcompany:lcc_international_inc,concept:biotechcompany,generalizations
concept:biotechcompany:medana_pharma_terpol_group,concept:biotechcompany,generalizations
concept:biotechcompany:lsi_logic_corp,concept:biotechcompany,generalizations
