entity,relation,best-entity-query,best-concept-query,query
concept:biotechcompany:intuit,generalizations,intuit,,intuit 
concept:biotechcompany:intuit,generalizations,intuit,,intuit 
concept:biotechcompany:aphton_corp,generalizations,Aphton Corp,,Aphton Corp 
concept:biotechcompany:powershares_dynamic_small_cap_value_portfolio,generalizations,PowerShares Dynamic Small Cap Value Portfolio,,PowerShares Dynamic Small Cap Value Portfolio 
concept:biotechcompany:lightbridge_inc_,concept:companyalsoknownas,Lightbridge Inc.,Lightbridge,Lightbridge Inc. Lightbridge
concept:biotechcompany:premier_community_bankshares_inc,generalizations,Premier Community Bankshares Inc,,Premier Community Bankshares Inc 
concept:biotechcompany:manhattan_pharmaceuticals,generalizations,MANHATTAN PHARMACEUTICALS,,MANHATTAN PHARMACEUTICALS 
concept:biotechcompany:mandalay_resort_group,generalizations,MANDALAY RESORT GROUP,,MANDALAY RESORT GROUP 
concept:biotechcompany:immulogic_pharmaceutical_corp,generalizations,Immulogic Pharmaceutical Corp,,Immulogic Pharmaceutical Corp 
concept:biotechcompany:caredecision_corp,generalizations,CareDecision Corp,,CareDecision Corp 
concept:company:american_family_insurance,concept:companyeconomicsector,american-family-insurance,insurance,american-family-insurance insurance
concept:company:american_family_insurance,generalizations,american-family-insurance,,american-family-insurance 
concept:biotechcompany:virginia_commerce_bancorp_inc,generalizations,Virginia Commerce Bancorp Inc,,Virginia Commerce Bancorp Inc 
concept:biotechcompany:labarge_inc,generalizations,labarge_inc,,labarge_inc 
concept:biotechcompany:fauquier_bankshares_inc,generalizations,Fauquier Bankshares Inc,,Fauquier Bankshares Inc 
concept:biotechcompany:mastercard_international,concept:companyalsoknownas,Mastercard International,MASTERCARD,Mastercard International MASTERCARD
concept:biotechcompany:mastercard_international,concept:synonymfor,Mastercard International,MASTERCARD,Mastercard International MASTERCARD
concept:biotechcompany:comtech_telecommunications_corp,generalizations,comtech telecommunications corp,,comtech telecommunications corp 
concept:biotechcompany:stemcells_inc,generalizations,STEMCELLS INC,,STEMCELLS INC 
concept:biotechcompany:olympic_steel_inc,generalizations,Olympic Steel Inc,,Olympic Steel Inc 
concept:biotechcompany:drug_company_merck,generalizations,drug company Merck,,drug company Merck 
concept:biotechcompany:ventas__vtr,generalizations,Ventas (VTR,,Ventas (VTR 
concept:biotechcompany:cavalier_homes_inc,generalizations,CAVALIER HOMES INC,,CAVALIER HOMES INC 
concept:biotechcompany:douglas_emmett,generalizations,Douglas Emmett,,Douglas Emmett 
concept:museum:coventry_transport_museum,generalizations,coventry transport museum,,coventry transport museum 
concept:biotechcompany:skyline_corp,generalizations,SKYLINE CORP,,SKYLINE CORP 
concept:biotechcompany:raven_inds_inc,generalizations,raven inds inc,,raven inds inc 
concept:biotechcompany:tya_pharmaceuticals,generalizations,TYA Pharmaceuticals,,TYA Pharmaceuticals 
concept:biotechcompany:amaru_inc,generalizations,Amaru Inc,,Amaru Inc 
concept:biotechcompany:ruddick_corp,generalizations,ruddick corp,,ruddick corp 
concept:company:lionbridge_technologies,generalizations,Lionbridge Technologies,,Lionbridge Technologies 
concept:biotechcompany:bosnalijek_pharmaceuticals,generalizations,Bosnalijek Pharmaceuticals,,Bosnalijek Pharmaceuticals 
concept:biotechcompany:barnwell_industries_inc,generalizations,barnwell industries inc,,barnwell industries inc 
concept:biotechcompany:frisch_s_restaurants_inc,generalizations,Frisch's Restaurants Inc,,Frisch's Restaurants Inc 
concept:biotechcompany:smc_recordings_inc,generalizations,SMC Recordings Inc,,SMC Recordings Inc 
concept:biotechcompany:archer_daniels_midland_co,generalizations,ARCHER DANIELS MIDLAND CO,,ARCHER DANIELS MIDLAND CO 
concept:biotechcompany:bsd_medical_corporation,generalizations,BSD Medical Corporation,,BSD Medical Corporation 
concept:biotechcompany:pennsylvania_commerce_bancorp_inc,generalizations,Pennsylvania Commerce Bancorp Inc,,Pennsylvania Commerce Bancorp Inc 
concept:biotechcompany:carrizo_oil___gas,generalizations,Carrizo Oil & Gas,,Carrizo Oil & Gas 
concept:biotechcompany:acura_pharmaceuticals,generalizations,acura pharmaceuticals,,acura pharmaceuticals 
concept:biotechcompany:mindpix_corp,generalizations,Mindpix Corp,,Mindpix Corp 
concept:biotechcompany:belden_inc_,generalizations,Belden Inc.,,Belden Inc. 
concept:biotechcompany:qlik_technologies_inc,generalizations,qlik technologies inc,,qlik technologies inc 
concept:biotechcompany:reed_financial,generalizations,Reed Financial,,Reed Financial 
concept:biotechcompany:sutron_corp,generalizations,Sutron Corp,,Sutron Corp 
concept:biotechcompany:capital_bancorp_inc,generalizations,capital bancorp inc,,capital bancorp inc 
concept:biotechcompany:hillenbrand_inc,generalizations,HILLENBRAND INC,,HILLENBRAND INC 
concept:biotechcompany:neogen_corporation,generalizations,NEOGEN CORPORATION,,NEOGEN CORPORATION 
concept:biotechcompany:big_5_sporting_goods_corp,generalizations,Big 5 Sporting Goods Corp,,Big 5 Sporting Goods Corp 
concept:biotechcompany:pressure_biosciences_inc,generalizations,Pressure BioSciences Inc,,Pressure BioSciences Inc 
concept:company:noranda_inc_,generalizations,Noranda Inc.,,Noranda Inc. 
concept:biotechcompany:con_way_inc_,generalizations,Con-way Inc.,,Con-way Inc. 
concept:biotechcompany:parexel_international,generalizations,PAREXEL INTERNATIONAL,,PAREXEL INTERNATIONAL 
concept:biotechcompany:scotsman_industries_inc,generalizations,SCOTSMAN INDUSTRIES INC,,SCOTSMAN INDUSTRIES INC 
concept:biotechcompany:encysive_pharmaceuticals_inc,generalizations,ENCYSIVE PHARMACEUTICALS INC,,ENCYSIVE PHARMACEUTICALS INC 
concept:biotechcompany:extra_space_storage_inc,generalizations,extra space storage inc,,extra space storage inc 
concept:biotechcompany:advanced_health_corp,generalizations,ADVANCED HEALTH CORP,,ADVANCED HEALTH CORP 
concept:biotechcompany:cost_plus_inc,generalizations,COST PLUS INC,,COST PLUS INC 
concept:biotechcompany:cost_plus_inc,generalizations,COST PLUS INC,,COST PLUS INC 
concept:biotechcompany:bone_care_international,generalizations,Bone Care International,,Bone Care International 
concept:biotechcompany:sagemark_companies_ltd,generalizations,SAGEMARK COMPANIES LTD,,SAGEMARK COMPANIES LTD 
concept:biotechcompany:nokia_corp,generalizations,NOKIA CORP,,NOKIA CORP 
concept:biotechcompany:nokia_corp,generalizations,NOKIA CORP,,NOKIA CORP 
concept:building:medical_college_of_georgia,generalizations,Medical College Of Georgia,,Medical College Of Georgia 
concept:biotechcompany:nexstar_broadcasting_group_inc,generalizations,Nexstar Broadcasting Group Inc,,Nexstar Broadcasting Group Inc 
concept:biotechcompany:proshares_ultrashort_ftse_xinhua_china_25,generalizations,proshares ultrashort ftse xinhua china 25,,proshares ultrashort ftse xinhua china 25 
concept:biotechcompany:blacksands_petroleum_inc,generalizations,Blacksands Petroleum Inc,,Blacksands Petroleum Inc 
concept:biotechcompany:richardson_electronics_ltd,generalizations,Richardson Electronics Ltd,,Richardson Electronics Ltd 
concept:biotechcompany:cytokinetics,generalizations,Cytokinetics,,Cytokinetics 
concept:company:ongc_videsh_limited,generalizations,ONGC Videsh Limited,,ONGC Videsh Limited 
concept:biotechcompany:biocoral_inc,generalizations,Biocoral Inc,,Biocoral Inc 
concept:biotechcompany:corning_inc,generalizations,Corning Inc,,Corning Inc 
concept:biotechcompany:corning_inc,generalizations,Corning Inc,,Corning Inc 
concept:biotechcompany:cadence_financial_corp,generalizations,CADENCE FINANCIAL CORP,,CADENCE FINANCIAL CORP 
concept:biotechcompany:harlan_laboratories,generalizations,Harlan Laboratories,,Harlan Laboratories 
concept:biotechcompany:icn_pharmaceuticals,concept:agentworkedondrug,ICN Pharmaceuticals,virazole,ICN Pharmaceuticals virazole
concept:biotechcompany:icn_pharmaceuticals,generalizations,ICN Pharmaceuticals,,ICN Pharmaceuticals 
concept:biotechcompany:zambon_group,generalizations,ZAMBON GROUP,,ZAMBON GROUP 
concept:organization:pfizer_pharmaceuticals_group,generalizations,Pfizer Pharmaceuticals Group,,Pfizer Pharmaceuticals Group 
concept:biotechcompany:qep_resources,generalizations,qep resources,,qep resources 
concept:company:ppd,concept:organizationhasperson,PPD,Fred Eshelman,PPD Fred Eshelman
concept:company:ppd,concept:organizationhastopmember,PPD,Fred Eshelman,PPD Fred Eshelman
concept:company:ppd,concept:organizationleadbyperson,PPD,Fred Eshelman,PPD Fred Eshelman
concept:company:ppd,concept:worker,PPD,Fred Eshelman,PPD Fred Eshelman
concept:biotechcompany:metallica_resources_inc,generalizations,metallica resources inc,,metallica resources inc 
concept:company:reed_international,generalizations,Reed International,,Reed International 
concept:biotechcompany:security_national_financial_corp,generalizations,SECURITY NATIONAL FINANCIAL CORP,,SECURITY NATIONAL FINANCIAL CORP 
concept:organization:glaxosmithkline_group,generalizations,GlaxoSmithKline group,,GlaxoSmithKline group 
concept:biotechcompany:orbit_international_corp,generalizations,orbit international corp,,orbit international corp 
concept:biotechcompany:bankatlantic_bancorp,generalizations,bankatlantic-bancorp,,bankatlantic-bancorp 
concept:biotechcompany:central_garden___pet_co,generalizations,CENTRAL GARDEN & PET CO,,CENTRAL GARDEN & PET CO 
concept:biotechcompany:xl_capital_ltd,generalizations,XL Capital Ltd,,XL Capital Ltd 
concept:retailstore:costco_wholesale_corp,concept:companyalsoknownas,costco wholesale,COST,costco wholesale COST
concept:retailstore:costco_wholesale_corp,concept:organizationhasagent,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,concept:organizationhasperson,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,concept:organizationleadbyperson,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,concept:organizationterminatedperson,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,concept:subpartof,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,concept:worker,costco wholesale,James Sinegal,costco wholesale James Sinegal
concept:retailstore:costco_wholesale_corp,generalizations,costco wholesale,,costco wholesale 
concept:retailstore:costco_wholesale_corp,generalizations,costco wholesale,,costco wholesale 
concept:retailstore:costco_wholesale_corp,generalizations,costco wholesale,,costco wholesale 
concept:biotechcompany:metricsinc,generalizations,metricsinc,,metricsinc 
concept:biotechcompany:canmex_minerals_corp,generalizations,Canmex Minerals Corp,,Canmex Minerals Corp 
concept:company:hyland_software,generalizations,Hyland Software,,Hyland Software 
concept:biotechcompany:fluka,generalizations,fluka,,fluka 
concept:biotechcompany:commscope_inc,generalizations,CommScope Inc,,CommScope Inc 
concept:biotechcompany:wipro_ltd,generalizations,Wipro-Ltd,,Wipro-Ltd 
concept:retailstore:home_depot_inc_,generalizations,Home Depot Inc.,,Home Depot Inc. 
concept:biotechcompany:abbott_pharmaceuticals,generalizations,Abbott Pharmaceuticals,,Abbott Pharmaceuticals 
concept:biotechcompany:biomerieux,generalizations,bioMerieux,,bioMerieux 
concept:biotechcompany:beckman_coulter,generalizations,Beckman Coulter,,Beckman Coulter 
concept:biotechcompany:rait_financial_trust,generalizations,RAIT Financial Trust,,RAIT Financial Trust 
concept:biotechcompany:hypercom_corp,generalizations,Hypercom Corp,,Hypercom Corp 
concept:biotechcompany:lowes_companies_inc,generalizations,lowes companies inc,,lowes companies inc 
concept:biotechcompany:grupo_aeroportuario_del_centro_norte_sab_de_cv,generalizations,grupo aeroportuario del centro norte sab de cv,,grupo aeroportuario del centro norte sab de cv 
concept:biotechcompany:old_rep_intl_corp,generalizations,OLD REP INTL CORP,,OLD REP INTL CORP 
concept:biotechcompany:witter_dean_world_currency_fund_l_p,generalizations,witter dean world currency fund l p,,witter dean world currency fund l p 
concept:biotechcompany:aerogen,generalizations,AeroGen,,AeroGen 
concept:biotechcompany:biosense_webster,generalizations,Biosense Webster,,Biosense Webster 
concept:biotechcompany:villarrica_volcano,generalizations,Villarrica Volcano,,Villarrica Volcano 
concept:biotechcompany:villarrica_volcano,generalizations,Villarrica Volcano,,Villarrica Volcano 
concept:biotechcompany:hei_inc,generalizations,HEI Inc,,HEI Inc 
concept:biotechcompany:span_america_medical,generalizations,Span-America Medical,,Span-America Medical 
concept:biotechcompany:ingram_micro_inc,generalizations,ingram micro inc,,ingram micro inc 
concept:biotechcompany:clifton_savings,generalizations,Clifton Savings,,Clifton Savings 
concept:biotechcompany:cholestech,generalizations,Cholestech,,Cholestech 
concept:biotechcompany:caraco_pharmaceutical_laboratories,generalizations,CARACO PHARMACEUTICAL LABORATORIES,,CARACO PHARMACEUTICAL LABORATORIES 
concept:biotechcompany:utek_corp,generalizations,UTEK CORP,,UTEK CORP 
concept:biotechcompany:yrc_worldwide_inc,generalizations,yrc worldwide inc,,yrc worldwide inc 
concept:biotechcompany:marriott_intl,generalizations,MARRIOTT INTL,,MARRIOTT INTL 
concept:biotechcompany:genta_inc,generalizations,GENTA INC,,GENTA INC 
concept:biotechcompany:flow_international_corp,generalizations,FLOW INTERNATIONAL CORP,,FLOW INTERNATIONAL CORP 
concept:biotechcompany:autodesk_inc,generalizations,autodesk inc,,autodesk inc 
concept:biotechcompany:first_data_corp,generalizations,First Data Corp,,First Data Corp 
concept:biotechcompany:crocotta_energy_inc,generalizations,Crocotta Energy Inc,,Crocotta Energy Inc 
concept:biotechcompany:donegal_group_inc,generalizations,Donegal Group Inc,,Donegal Group Inc 
concept:biotechcompany:epiq_systems_inc,generalizations,EPIQ Systems Inc,,EPIQ Systems Inc 
concept:biotechcompany:telecomm_industries_corp,generalizations,Telecomm Industries Corp,,Telecomm Industries Corp 
concept:biotechcompany:ncr_corp,generalizations,NCR CORP,,NCR CORP 
concept:biotechcompany:cenes_pharmaceuticals,generalizations,CeNeS Pharmaceuticals,,CeNeS Pharmaceuticals 
concept:biotechcompany:proshares_ultrashort_semiconductors,generalizations,proshares ultrashort semiconductors,,proshares ultrashort semiconductors 
concept:biotechcompany:mednax_inc,generalizations,MEDNAX INC,,MEDNAX INC 
concept:biotechcompany:sunopta_inc,generalizations,sunopta inc,,sunopta inc 
concept:biotechcompany:syntax_brillian_corp,generalizations,Syntax Brillian Corp,,Syntax Brillian Corp 
concept:biotechcompany:zap,generalizations,Zap,,Zap 
concept:biotechcompany:lasalle_hotel_properties,generalizations,Lasalle Hotel Properties,,Lasalle Hotel Properties 
concept:biotechcompany:lasalle_hotel_properties,generalizations,Lasalle Hotel Properties,,Lasalle Hotel Properties 
concept:biotechcompany:crescent_banking_co,generalizations,CRESCENT BANKING CO,,CRESCENT BANKING CO 
concept:biotechcompany:aero_vodochody_l_39,generalizations,Aero Vodochody L-39,,Aero Vodochody L-39 
concept:biotechcompany:sound_pharmaceuticals,generalizations,Sound Pharmaceuticals,,Sound Pharmaceuticals 
concept:biotechcompany:slm_holding_corp,generalizations,SLM HOLDING CORP,,SLM HOLDING CORP 
concept:biotechcompany:global_industries,generalizations,Global Industries,,Global Industries 
concept:biotechcompany:hormel_foods_corp,generalizations,hormel foods corp,,hormel foods corp 
concept:biotechcompany:newbridge_bancorp,generalizations,newbridge bancorp,,newbridge bancorp 
concept:biotechcompany:tut_systems_inc,generalizations,tut systems inc,,tut systems inc 
concept:biotechcompany:conair_corp,generalizations,Conair Corp,,Conair Corp 
concept:biotechcompany:genitope,generalizations,Genitope,,Genitope 
concept:biotechcompany:southwest_gas_corporation,generalizations,southwest gas corporation,,southwest gas corporation 
concept:biotechcompany:maidenform_brands_inc,generalizations,Maidenform Brands Inc,,Maidenform Brands Inc 
concept:biotechcompany:cet_services_inc,generalizations,CET Services Inc,,CET Services Inc 
concept:biotechcompany:mdc_partners_inc,generalizations,MDC Partners Inc,,MDC Partners Inc 
concept:biotechcompany:sanofi_synthelabo_inc,generalizations,sanofi synthelabo inc,,sanofi synthelabo inc 
concept:biotechcompany:kramer_laboratories,generalizations,Kramer Laboratories,,Kramer Laboratories 
concept:biotechcompany:blue_chip_value_fund_inc,generalizations,blue chip value fund inc,,blue chip value fund inc 
concept:biotechcompany:somerset_pharmaceuticals_inc,generalizations,Somerset Pharmaceuticals Inc,,Somerset Pharmaceuticals Inc 
concept:biotechcompany:international_medical_group,generalizations,International Medical Group,,International Medical Group 
concept:biotechcompany:united_dominion_industries_limited,generalizations,United Dominion Industries Limited,,United Dominion Industries Limited 
concept:biotechcompany:cellzome,generalizations,Cellzome,,Cellzome 
concept:company:cheveron,concept:latitudelongitude,Cheveron,"40.4459000000000,-79.9577000000000","Cheveron 40.4459000000000,-79.9577000000000"
concept:company:cheveron,generalizations,Cheveron,,Cheveron 
concept:biotechcompany:panavision_inc,generalizations,panavision inc,,panavision inc 
concept:biotechcompany:taubman_centers_inc,generalizations,taubman centers inc,,taubman centers inc 
concept:biotechcompany:biotel_inc,generalizations,Biotel Inc,,Biotel Inc 
concept:biotechcompany:ascent_media_corp,generalizations,Ascent Media Corp,,Ascent Media Corp 
concept:biotechcompany:community_west_bancshares,generalizations,COMMUNITY WEST BANCSHARES,,COMMUNITY WEST BANCSHARES 
concept:biotechcompany:winmark_corp,generalizations,Winmark Corp,,Winmark Corp 
concept:biotechcompany:lubys_inc,generalizations,LUBYS INC,,LUBYS INC 
concept:biotechcompany:echelon_corporation,concept:synonymfor,Echelon Corporation,Echelon,Echelon Corporation Echelon
concept:biotechcompany:echelon_corporation,generalizations,Echelon Corporation,,Echelon Corporation 
concept:biotechcompany:echelon_corporation,generalizations,Echelon Corporation,,Echelon Corporation 
concept:retailstore:subway,concept:agentcompeteswithagent,SUBWAY,search,SUBWAY search
concept:retailstore:subway,concept:transportationincity,SUBWAY,New York City,SUBWAY New York City
concept:retailstore:subway,generalizations,SUBWAY,,SUBWAY 
concept:biotechcompany:n1_2_areas_covered_in_this_report,generalizations,1.2 areas covered in this report,,1.2 areas covered in this report 
concept:biotechcompany:fairfax_financial_holdings_limited,generalizations,Fairfax Financial Holdings Limited,,Fairfax Financial Holdings Limited 
concept:biotechcompany:shire_biochem,generalizations,SHIRE-BIOCHEM,,SHIRE-BIOCHEM 
concept:biotechcompany:meridian_medical_technologies,generalizations,MERIDIAN MEDICAL TECHNOLOGIES,,MERIDIAN MEDICAL TECHNOLOGIES 
concept:shoppingmall:tysons_galleria,generalizations,Tysons Galleria,,Tysons Galleria 
concept:biotechcompany:pfizer_company,generalizations,Pfizer Company,,Pfizer Company 
concept:biotechcompany:sandy_spring_wtvr_tv_bancorp_inc,generalizations,SANDY SPRING WTVR-TV BANCORP INC,,SANDY SPRING WTVR-TV BANCORP INC 
concept:biotechcompany:orbital_sciences,generalizations,ORBITAL SCIENCES,,ORBITAL SCIENCES 
concept:biotechcompany:eplus_inc,generalizations,ePlus Inc,,ePlus Inc 
concept:biotechcompany:genetic_technologies_grants,generalizations,genetic technologies grants,,genetic technologies grants 
concept:biotechcompany:sense_technologies_inc,generalizations,Sense Technologies Inc,,Sense Technologies Inc 
concept:biotechcompany:transtech,generalizations,TransTech,,TransTech 
concept:biotechcompany:premiere_global_svcs_inc,generalizations,premiere global svcs inc,,premiere global svcs inc 
concept:biotechcompany:bristol_myers,concept:agentworkedondrug,bristol-myers,PLavix,bristol-myers PLavix
concept:biotechcompany:bristol_myers,generalizations,bristol-myers,,bristol-myers 
concept:biotechcompany:ostex,generalizations,ostex,,ostex 
concept:mountain:taal_volcano,generalizations,Taal Volcano,,Taal Volcano 
concept:biotechcompany:novartis_international_ag,generalizations,Novartis International AG,,Novartis International AG 
concept:biotechcompany:home_properties_inc,generalizations,home properties inc,,home properties inc 
concept:biotechcompany:cell_signaling,generalizations,cell signaling,,cell signaling 
concept:biotechcompany:inovio_pharmaceuticals_inc,generalizations,Inovio Pharmaceuticals Inc,,Inovio Pharmaceuticals Inc 
concept:biotechcompany:helix_medical,generalizations,HELIX MEDICAL,,HELIX MEDICAL 
concept:biotechcompany:insmed_incorporated,generalizations,Insmed Incorporated,,Insmed Incorporated 
concept:biotechcompany:colony_rih_holdings_inc,generalizations,colony rih holdings inc,,colony rih holdings inc 
concept:biotechcompany:inrange_technologies_corp,generalizations,Inrange Technologies Corp,,Inrange Technologies Corp 
concept:biotechcompany:encore_medical,generalizations,Encore Medical,,Encore Medical 
concept:company:pepsico_foods,generalizations,PepsiCo Foods,,PepsiCo Foods 
concept:biotechcompany:nvr_inc,generalizations,NVR INC,,NVR INC 
concept:biotechcompany:cephalon___inc,generalizations,"Cephalon , Inc",,"Cephalon , Inc "
concept:biotechcompany:biomed_realty_trust_inc,generalizations,BioMed Realty Trust Inc,,BioMed Realty Trust Inc 
concept:retailstore:parkson,generalizations,Parkson,,Parkson 
concept:retailstore:parkson,generalizations,Parkson,,Parkson 
concept:biotechcompany:c_m_s_bancorp_inc,generalizations,C M S BANCORP INC,,C M S BANCORP INC 
concept:company:genencor,generalizations,genencor,,genencor 
concept:biotechcompany:select_comfort_corporation,generalizations,SELECT COMFORT CORPORATION,,SELECT COMFORT CORPORATION 
concept:biotechcompany:electroregenesis_inc,generalizations,electroregenesis_inc,,electroregenesis_inc 
concept:biotechcompany:pc_connection_inc,generalizations,pc_connection_inc,,pc_connection_inc 
concept:biotechcompany:pc_connection_inc,generalizations,pc_connection_inc,,pc_connection_inc 
concept:retailstore:fedex_corp,concept:companyalsoknownas,FedEx Corp,fdx,FedEx Corp fdx
concept:retailstore:fedex_corp,concept:organizationheadquarteredincountry,FedEx Corp,U . S .,FedEx Corp U . S .
concept:retailstore:fedex_corp,generalizations,FedEx Corp,,FedEx Corp 
concept:retailstore:fedex_corp,generalizations,FedEx Corp,,FedEx Corp 
concept:retailstore:fedex_corp,generalizations,FedEx Corp,,FedEx Corp 
concept:retailstore:fedex_corp,generalizations,FedEx Corp,,FedEx Corp 
concept:biotechcompany:brinx_resources_ltd,generalizations,Brinx Resources Ltd,,Brinx Resources Ltd 
concept:biotechcompany:dawson_geophysical_co,generalizations,dawson geophysical co,,dawson geophysical co 
